﻿text;author;role
Schach ist das schnellste Spiel der Welt, weil man in jeder Sekunde Tausende von Gedanken ordnen muss.;Albert Einstein;
Die Drohung ist stärker als die Ausführung.;Aron Nimzowitsch;
Schach ist ein See, in dem eine Mücke baden und ein Elefant ertrinken kann.;Indisches Sprichwort;
Auf dem Schachbrett der Meister überwiegen die Ausnahmen die Regeln.;Savielly Tartakower;
Taktik ist zu wissen, was zu tun ist, wenn es etwas zu tun gibt. Strategie ist zu wissen, was zu tun ist, wenn es nichts zu tun gibt.;Savielly Tartakower;
Niemand hat je eine Partie durch Aufgeben gewonnen.;Savielly Tartakower;
Man muss den Gegner in einen dunklen Wald führen, wo 2+2=5 ist und der Weg hinaus nur breit genug für einen ist.;Michail Tal;
