﻿id;name;country;league
rhy1;Rhy 1;🇨🇭 Schweiz;SMM / SGM
rhy2;Rhy 2;🇨🇭 Schweiz;SMM / SGM
rhf1;Rhf 1;🇩🇪 Deutschland;Bereichsliga
rhf2;Rhf 2;🇩🇪 Deutschland;Bezirksliga
ohne-team;Mitglied ohne Team;;
