id;title;content;icon;image
training;Jugend-Treff & Training;Unter fachkundiger Anleitung unserer Partner Schach-Freunde Pelikan werden einfache Spielzüge und taktische Varianten erprobt. Dies im freien Spiel kreativ kombinierend - das ist Schach!<br><br>Unser Jugend-Treff bietet zudem freies Spiel, individuelle Betreuung sowie Basis-Ausbildung und Aufbau-Wissen für alle Stufen.;♟️;https://res.cloudinary.com/i1wuvnct/image/upload/w_800,c_limit,f_auto,q_auto/v1786397233/Bilder/Allgemein/Gambrinus_Spieler_dkeshk.png
liga;Jugend-Ligen;<p>Gemeinsam mit unseren Betreuern bespielen wir aktiv verschiedene Ligen in der Region:</p><ul><li><strong>In der Schweiz:</strong> SMM Mannschaften und SGM Gruppen</li><li><strong>Am Hochrhein (DE):</strong> Ligen in den Stufen Bereich, Bezirk und Kreis</li></ul>;⚔️;https://res.cloudinary.com/i1wuvnct/image/upload/w_800,c_limit,f_auto,q_auto/v1786399056/Bilder/Allgemein/Jugend_Schach_lo7adc.png
schulen;Schul-Schach AGs;Wir engagieren uns stark an lokalen Schulen und führen Schach-AGs für Bildungseinrichtungen durch:<br><ul><li>Freie Waldorfschule Schopfheim</li><li>Georg-Büchner-Gymnasium Rheinfelden</li><li>Christian-Heinrich-Zeller-Schule Karsau</li><li>Hans-Thoma-Grundschule  Warmbach</li></ul>;🏫;https://res.cloudinary.com/i1wuvnct/image/upload/w_800,c_limit,f_auto,q_auto/v1786398088/Bilder/Allgemein/Freie_Waldorfschule_Schopfheim_a7cdwd.png
turniere;Turniersport;Der Turniersport kommt bei uns nicht zu kurz: Den renommierten Aargauer Jugend-Grand-Prix besuchen wir regelmässig mit unseren Partnern aus der Schweiz.;🏆;
foerderung;Förderung & Teilnahme;Unser Jugendschach wird durch Vereinsbeiträge und engagierte Sponsoren stark gefördert. Dies ermöglicht ein breites Angebot, verpflichtet die Teilnehmer im Gegenzug aber auch zur regelmässigen Teilnahme an unseren Trainings und Events.;🤝;
